,Mean,Median,Mode,Min,Q1,Q3,Max,Variance,Std_Dev
Life_Expectancy,71.38,72.8,75.1,47.5,65.3,77.0,83.9,62.26,7.89
GDP,18509.0,11400.0,15400.0,624.0,3950.0,26300.0,110000.0,379899812.3,19491.02
Daily_Income,20.1,12.1,11.0,1.58,5.19,25.6,126.0,441.48,21.01
CO2_Emissions,5.02,2.78,1.2,0.04,0.75,7.01,47.5,38.08,6.17
Children_per_Woman,2.88,2.36,1.53,0.95,1.73,4.02,7.45,2.16,1.47
Child_Mortality,33.38,18.3,5.05,2.34,8.04,54.2,142.0,1135.23,33.69
